NOME;VULNERABILIDADE;LOCALIZA??O;UHS MAPEADAS;TIPOLOGIA;TIPO ASSENTAMENTO;ANO OCUPA??O DOCUMENTADO;ANO OCUPA??O ENTREVISTA;ZONEAMENTO;GRAVAMES JUDICIAIS;INTERVEN??O - PROGRAMA;UNIDADES CADASTRADAS;INTERVER??O - ESTAGIO;MANANCIAL;FEI??O MORFOLOGICA;
JARDIM NOSSO LAR;BAIXA;B.DOS ALVARENGA;null;1;Loteamento Irregular;1992;1993;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;154;AÁıes em andamento;SIM ;MARGEM DE CORREGO;
JARDIM ANCHIETA;NENHUMA;B. ASSUN√ø√øO;null;1;Favela Urbanizada;1987;2000;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;211;REGULARIZADO;NAO ;MORRO BAIXO;
ASSOCIACAO CONSTR. POPULAR MOTORISTAS MUNICIPAIS;MUITO BAIXA;B. RUDGE RAMOS;null;5;Loteamento Irregular;1983;1987;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;146;AÁıes em andamento;NAO ;PLAN√ø¬çCIE ALUVIAL;
JD. LAS PALMAS;M…DIA;B. DOS ALVARENGA;1533;2;Loteamento Irregular;null;1995;MMS / ARA 1;ACP 2119/99;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;PLANICIE ALUVIAL;
ASSOCIACAO HABITACIONAL COMUNITARIA DO ABC;BAIXA;B. BATISTINI;5;5;Loteamento Irregular;null;1970;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO ALTO;
VILA GALILEIA / VILA ROSA;ALTA;B. INDEPEND√øNCIA;262;6;Favela Urbanizada;null;1985;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MARGEM DE CORREGO/ FUNDO DE VALE;
JARDIM INDUSTRIAL (GLEBAS 1/2);M…DIA;B. BAETA NEVES;185;2;Favela;1990;1990;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MORRO BAIXO;
GOLDEN PARK;BAIXA;B. MONTANH√øO;null;5;Loteamento Irregular;1996;1991;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria /  ReduÁ„o de Risco e AÁıes Emergenciais;1248;AÁıes em andamento;NAO ;MORO BAIXO;
VILA TUPA;BAIXA;B. RIACHO GRANDE;null;5;Favela Urbanizada;null;1987;MMS / ARA 1;Nada consta;RegularizaÁ„o Fundi·ria;74;AÁıes em andamento;SIM ;MORRO BAIXO;
JARDIM DAS OLIVEIRAS II;M…DIA;B. DOS ALVARENGA;166;2;Loteamento Irregular;1992;1991;MURE / ARA 1;ACP 964/93;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
PARCELAMENTO IMOBILIARIA CALEGARI;BAIXA;B. BATISTINI;41;5;Loteamento Irregular;1993;1950;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO ALTO;
JARDIM LOS ANGELES;BAIXA;B. BATISTINI;null;1;Loteamento Irregular;1959;1990;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;472;AÁıes em andamento;SIM ;COLINA;
VILA FERREIRA;ALTA;B. ALVES DIAS;null;6;Favela Urbanizada;1986;1970;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;479;AÁıes em andamento;NAO ;COLINA;
ILHA LUIS PEQUINI/ SARACANTAN;MUITO ALTA;B. MONTANH√øO;null;4;Favela;null;1993;MUC / ZUD 1;Nada consta;ProduÁ„o Habitacional para apoio a reassentamentos;56;AÁıes em andamento;NAO ;PLANICIE ALUVIAL;
VILA PRAIA GRANDE II;BAIXA;B. DOS FINCO;172;5;Loteamento Irregular;1980;null;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO ALTO;
RUA DAS FLORES ;ALTA;B. BATISTINI;268;6;Favela Urbanizada;null;1980;MURE / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;416;AÁıes em andamento;SIM ;COLINA;
CONDOMINIO NOVA ASSUNCAO;BAIXA;B. COOPERATIVA;48;5;Loteamento Irregular;1997;1998;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MORRO BAIXO;
VILA CANARINHO;ALTA;B. MONTANH√øO;null;6;Favela Urbanizada;1980;1984;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;78;AÁıes em andamento;NAO ;MARGEM DE CORREGO;
PARQUE ESMERALDA;ALTA;B. DOS ALVARENGA;null;6;Favela;1978;1965;MURE / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;266;AÁıes em andamento (Projeto executivo em elaboraÁ„o);SIM ;MARGEM DE C√øRREGO, FUNDO DE VALE E COLINA;
JARDIM DAS OLIVEIRAS  ;BAIXA;B. DOS CASA;null;1;Loteamento Irregular;1985;1995;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;325;AÁıes em andamento;SIM ;COLINA;
DER I ;ALTA;B. CENTRO;null;6;Favela Parcialmente Urbanizada;null;1950;MUC / ZUD 1;TAC;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;1670;AÁıes em andamento;NAO ;MORRO BAIXO;
RUA ITA;NENHUMA;B. BAETA NEVES;null;1;Loteamento Irregular;null;null;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;40;REGULARIZADO;NAO ;MARGEM DE CORREGO/ MORROTE;
BOTUJURU;NENHUMA;B. BOTUJURU;null;1;Loteamento Irregular;1990;1992;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;683;REGULARIZADO;NAO ;MORRO BAIXO;
NOVO PARQUE/SARACANTAN;ALTA;B. MONTANH√øO;null;6;Favela Urbanizada;1980;1972;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;694;AÁıes em andamento;NAO ;PLANICIE ALUVIAL;
JARDIM NOSSO TETO;ALTA;B. DOS ALVARENGA;109;6;Loteamento Irregular;1994;1994;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;COLINA;
